# 제주도 큐레이션 장소 목록
#
# ── 좌표 자동 채우기 지시자 ────────────────────────────────────────
# region: 검색어 앞에 붙여 같은 이름의 다른 지역 가게가 잡히는 것을 줄인다
# bbox:   minLat,minLng,maxLat,maxLng — 이 범위 밖 결과는 버리고 다음 후보를 본다
#! region: 제주
#! bbox: 33.10,126.10,33.60,127.00
#
# 이 파일을 고친 뒤 아래를 실행하면 web/data/places.json 이 다시 만들어집니다.
#
#     python3 scripts/build_places.py
#     TOUR_API_KEY=발급받은키 python3 scripts/build_places.py    # 사진·요약까지 채우려면
#
# ── 형식 ───────────────────────────────────────────────────────────
#   장소명 | 위도,경도 | 평점 | 한줄평
#
#   장소명만 필수이고 나머지 세 칸은 비워도 됩니다.
#   맨 앞이 [ ] 인 줄은 카테고리 구분, # 으로 시작하면 주석입니다.
#
# ── 좌표 ───────────────────────────────────────────────────────────
#   좌표가 없으면 거리 계산을 할 수 없어 그 장소는 목록에서 빠집니다.
#   채우는 방법은 두 가지입니다.
#
#   (1) TOUR_API_KEY 를 넣고 스크립트를 돌린다 → 관광공사 데이터에서 자동으로 채워집니다
#   (2) 직접 적는다 → 카카오맵(map.kakao.com)에서 장소를 우클릭 →
#       "좌표 복사" 를 누르면 위도, 경도 순서로 나옵니다. 그대로 붙여넣으면 됩니다
#
#   아래 목록은 장소명만 채워 둔 상태입니다. 좌표는 위 방법으로 채워 주세요.
#
# ── 평점·한줄평 ────────────────────────────────────────────────────
#   자동으로 수집하지 않습니다. 포털 평점을 긁어오는 것은 약관 위반 소지가 있어,
#   직접 다녀와서 매긴 점수와 메모를 적는 방식입니다. 비워두면 화면에 안 나옵니다.
#
#   예) 성산일출봉 | 33.4580,126.9427 | 4.6 | 새벽에 오르면 사람이 적다
#       (위 좌표는 형식을 보여주기 위한 예시이므로 직접 확인해 채우세요)


[관광지]
성산일출봉 | 33.459282,126.939720 |  |
만장굴 | 33.528378,126.771616 |  |
비자림 | 33.490408,126.809988 |  |
천지연폭포 | 33.245094,126.556906 |  |
정방폭포 | 33.244909,126.571526 |  |
주상절리대 | 33.237985,126.426011 |  |
용두암 | 33.516120,126.504397 |  |
협재해수욕장 | 33.394314,126.239652 |  |
함덕해수욕장 | 33.543062,126.669239 |  |
월정리해수욕장 | 33.556469,126.795805 |  |
쇠소깍 | 33.252956,126.622642 |  |
사려니숲길 | 33.422033,126.626497 |  |
한라산국립공원 | 33.376685,126.542182 |  |
우도 | 33.504420,126.955582 |  |
카멜리아힐 | 33.290337,126.368190 |  |
오설록티뮤지엄 | 33.305920,126.289490 |  |
새별오름 | 33.366278,126.357731 |  |
산굼부리 | 33.432574,126.693832 |  |
외돌개 | 33.239840,126.545523 |  |
섭지코지 | 33.429180,126.933379 |  |
새연교 | 33.238533,126.558886 |  |
이중섭거리 | 33.247614,126.564004 |  |
동문시장 | 33.512784,126.528303 |  |
한담해안산책로 | 33.461980,126.310569 |  |
이호테우해변 | 33.497377,126.452691 |  |
곽지해변 | 33.450640,126.304678 |  |
한림공원 | 33.390225,126.239691 |  |
선덕사 | 33.320180,126.593597 |  |


[맛집]
# 제주 향토음식과 잘 알려진 노포 위주로 이름만 적어 둔 목록입니다.
# 직접 다녀오신 곳으로 자유롭게 바꾸거나 추가하세요.
올레국수 | 33.325293,126.843336 |  |
자매국수 | 33.505659,126.520122 |  |
숙성도 | 33.262797,126.395412 |  |
돈사돈 | 33.478875,126.464020 |  |
명진전복 | 33.532471,126.850185 |  |
해녀의집 | 33.469735,126.922293 |  |
우진해장국 | 33.511517,126.520001 |  |
삼대국수회관 | 33.506901,126.530059 |  |
가시식당 | 33.353060,126.771438 |  |
남매네흑돼지 | 33.250005,126.562934 |  |
중문생선구이 | 33.249240,126.430047 |  |
올레왕갈치 | 33.248514,126.562798 |  |
제주로운청해원 | 33.436731,126.920626 |  |
공천포식당 | 33.266389,126.642585 |  |
한담국수 | 33.462592,126.312256 |  |
사우스포레스트 | 33.298401,126.600742 |  |
보룡제과 | 33.448007,126.915217 |  |
제일성심당 | 33.447947,126.914896 |  |
마초스테이크 | 33.463111,126.310012 |  |
춘미향음식점 | 33.231469,126.296526 |  |
엄마손횟집 | 33.486695,126.488109 |  |
옥돔식당 | 33.219971,126.249007 |  |
스시호시카이 | 33.487765,126.517522 |  |
어느멋진날 | 33.268755,126.654606 |  |


[카페]
카페델문도 | 33.543709,126.668724 |  |
봄날카페 | 33.462419,126.309609 |  |
헬로우제주 | 33.459979,126.453537 |  |
카페한라산 | 33.524783,126.863025 |  |
서연의집 | 33.269407,126.655581 |  |
해지개 | 33.464324,126.308992 |  |
오늘의바다 | 33.241641,126.518488 |  |
아베베베이커리 | 33.511551,126.526599 |  |
카멜커피 | 33.557020,126.809911 |  |
